#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","Uptime"
"HRGVM0920-35",
"HRGVM-643",
"HRGVM0518-26",
"HRGVM0618-4",
"HRGVM0518-12",
"HRGVM-573",
"HRGVM0518-17",
"HRGVM0518-24",
"HRGVM-560",
"HRGVM0518-23",
"HRGVM0518-11",
"HRGVM-577",
"HRGVM-562",
"HRGVM-642",
"HRGVM0518-13",
"HRGVM0518-16",
"HRGVM0518-15",
"HRGVM0518-21",
"HRGVM0518-25",
"HRGVM-567",
"HRGVM0518-27",
"hrgvm-593",
"HRGVM-583",
"HRGVM1020-25",
"HRGVM1020-24",
"HRGVM1020-23",
"HRGVM1020-22",
"HRGVM1020-20",
"HRGVM1020-18",
"HRGVM1020-14",
"HRGVM1020-13",
"HRGVM1020-12",
"HRGVM0320-48",
"HRGVM0719-1",
"HRGVM1018-4",
"HRGVM1119-18",
"HRGVM-604",
"HRGVM0219-2",
"HRGVM1219-26",
"HRGVM0920-6",
"HRGVM0320-13",
"HRGVM1219-12",
"HRGVM0320-85",
"HRGVM0820-1",
"HRGVM0618-3",
"HRGVM1219-14",
"HRGVM0618-2",
"HRGVM0320-49",
"HRGVM-598",
"HRGVM0320-117",
"HRGVM0820-8",
"HRGVM0320-178",
"HRGVM0320-83",
"HRGVM0320-90",
"HRGVM0320-42",
"HRGVM1119-20",
"HRGVM0320-161",
"HRGVM-637",
"HRGVM0718-1",
"HRGVM1219-15",
"HRGVM0320-31",
"HRGVM1019-4",
"HRGVM1018-16",
"HRGVM0320-151",
"HRGVM-588",
"HRGVM0920-14",
"HRGVM1119-23",
"HRGVM0518-6",
"HRGVM1020-15",
"HRGVM0320-29",
"HRGVM0920-39",
"HRGVM0120-7",
"HRGVM-622",
"HRGVM-636",
"HRGVM0320-129",
"HRGVM0719-8",
"HRGVM0320-131",
"HRGVM-569",
"HRGVM0920-17",
"HRGVM0719-4",
"HRGVM0920-32",
"HRGVM0920-16",
"HRGVM0320-56",
"HRGVM0320-137",
"HRGVM1019-8",
"HRGVM0920-21",
"HRGVM1019-1",
"HRGVM0119-2",
"HRGVM0920-25",
"HRGVM0320-169",
"HRGVM1018-6",
"HRGVM0320-140",
"HRGVM1020-7",
"HRGVM0719-2",
"HRGVM0320-104",
"HRGVM1020-6",
"HRGVM0619-7",
"HRGVM0320-130",
"HRGVM1019-3",
"HRGVM0918-8",
"HRGVM1219-10",
"HRGVM0320-20",
"HRGVM0320-75",
"HRGVM0820-24",
"HRGVM0320-128",
"HRGVM0518-8",
"HRGVM0320-41",
"HRGVM0518-1",
"HRGVM1219-22",
"HRGVM0920-27",
"HRGVM0320-26",
"HRGVM0820-12",
"HRGVM0920-36",
"HRGVM0320-172",
"HRGVM-579",
"HRGVM0320-156",
"HRGVM-609",
"HRGVM0920-18",
"HRGVM0320-154",
"HRGVM0320-21",
"HRGVM0718-6",
"HRGVM1219-20",
"HRGVM0320-147",
"HRGVM0320-57",
"HRGVM1020-3",
"HRGVM0320-8",
"HRGVM0320-133",
"HRGVM1119-2",
"HRGVM0820-4",
"HRGVM0920-31",
"HRGVM1219-27",
"HRGVM0120-8",
"HRGVM0319-2",
"HRGVM0320-139",
"HRGVM0119-20",
"HRGVM0920-40",
"HRGVM0320-138",
"HRGVM0320-69",
"HRGVM0320-1",
